rank,uid,username,type
1,670459,yiyunhuan,舰长
2,1551497,囗六六囗,舰长
3,2413965,USA226,舰长
4,122449,七夜寒音,舰长
5,289499569,24Bridge,舰长
6,384246380,周之谦ovo,舰长
7,359354934,想当蓝毛毛的天降,舰长
8,327220159,Qi学日麻,舰长
9,759055,佐仓沙耶加减乘除,舰长
10,302878,迫近的天际线,舰长
11,35148518,加尔斯海塔尔,舰长
12,13624279,蛮牛方进,舰长
13,9555628,池上凭阑,舰长
14,2686444,zhlovenaiye,舰长
15,5338051,朝倉康心QB,舰长
16,1355340,七夜喵,舰长
17,273875635,arslan1984,舰长
18,10005741,钻石胸针,舰长
19,2295825,505错误,舰长
20,1527604,米糖豆包,舰长
21,356414,幻梦落尘,舰长
22,3242457,猫耳小月子,提督
23,294667,小狼仔06,舰长
24,925980,LightNight,舰长
25,77222956,云若飞,舰长
26,604337808,锉刀必秒七海,舰长
27,2238244,成飞大爱秋山澪,舰长
28,2491930,aarkegz,舰长
29,1386318,紫色の心,舰长
30,13130453,xXx没头脑和不高兴,舰长
31,397781410,ysjsyysjsy,舰长
32,11123212,韶尘杳晚暮_,舰长
33,24349506,雪域悠然,舰长
34,2125062,寂灭天华,舰长
35,6792898,沉迷乙游的YosuGa,舰长
36,3731858,如烟如雨丶,舰长
37,218970376,嘉兴路海德格爾,舰长
38,21626362,千年·小妖,舰长
39,17490423,我只是来看看不说话,舰长
40,581984,jiu红_佐仓财团,舰长
41,333757885,蒲苇韧如絲,舰长
42,11444975,西莉卡のShirika,舰长
43,139451,如儿两个字太短,舰长
44,1438008,天津風醬,舰长
45,346352217,左车亭,舰长
46,576590,fuluo,舰长
47,333445222,饭阿能的咸鱼0,舰长
48,299597062,GodSky-,舰长
49,207079,猫控才是王道,舰长
50,1697848019,赤五教教主亮亮,舰长
51,32285055,谁家小猫咪这么可爱啊,舰长
52,21286664,酱油不要油,舰长
53,2909345,化雨成枫,舰长
54,364421466,胡乱思维的猫,舰长
55,324452248,MMarlon,舰长
56,390653681,cmerxbd,舰长
57,23665774,悠米爱吃巧克力,舰长
58,1286485,吸猫薄荷的漠涟漪,舰长
59,2899906,瑟瑟ovo,舰长
60,11178087,南极大熊熊,舰长
61,1016211,定楠er,舰长
62,38017271,好想睡醒阿,舰长
63,323391654,魔王米莉姆喲,舰长
64,482738,暁の水平線に,舰长
65,416833614,请叫我天地胡,舰长
66,44100459,芙蓉打dota,舰长
67,85304044,叫什么才能过,舰长
68,610492,博格达山,舰长
69,29381013,月影残剑,舰长
70,1507182989,碳酸树袋熊,舰长
71,39351242,一只被喂狗粮的喵,舰长
72,1368139,巴巴爸爸,舰长
73,1802569,SirenumScopuli,舰长
74,282770222,zh4ever,舰长
75,358916082,然-7,舰长
76,284054,傲娇藤林杏,舰长
77,3237744,剧毒术士卡布达,舰长
78,24136234,yuk133,舰长
79,518287,琰月,舰长
80,94526445,胡萝北素w,舰长
81,6340376,尛滺,舰长
82,96354,重巡洋舰羽黑,舰长
83,10354186,空白de顔色,舰长
84,5800806,bpkbumblebee,舰长
85,2986944,Ace长安,舰长
86,848258,菠萝灌汤包,舰长
87,390676180,九条狸猫,舰长
88,11270874,絔小妖丶,舰长
89,133890,disname,舰长
90,4212765,小也QwQ,舰长
91,153596,传说中的老山猫,舰长
92,124353728,莱昂凯知耻而人品好,舰长
93,80835075,死人枫,舰长
94,13636187,李小花丶,舰长
95,37937594,アンパンです,舰长
96,401465319,隐薛,舰长
97,7080134,暮雨风傲,舰长
98,386362614,栀落雪融,舰长
99,41106921,Tsuki丶suki丶,舰长
100,262536544,风花雪月隐,舰长
