rank,uid,username,type
1,6255252,pomelo_wine,舰长
2,21443071,半车回忆,舰长
3,35357644,凛音梦夜,舰长
4,4156362,小心心才不傲娇,舰长
5,3861924,ghj123h,舰长
6,1846594,dovechoco,舰长
7,10687622,打铁阿里纱,舰长
8,670459,yiyunhuan,舰长
9,89427543,Beat0n,舰长
10,150476,你玩FF14像cxk,舰长
11,1551497,囗六六囗,舰长
12,2413965,USA226,舰长
13,19038963,千里花咲,舰长
14,51792751,扶摇上青天丶,舰长
15,455753800,中野三玖单推人,舰长
16,122449,七夜寒音,舰长
17,299000,枫枫雪,舰长
18,289499569,24Bridge,舰长
19,384246380,周之谦ovo,舰长
20,359354934,想当蓝毛毛的天降,舰长
21,327220159,Qi学日麻,舰长
22,759055,佐仓沙耶加减乘除,舰长
23,302878,迫近的天际线,舰长
24,35148518,加尔斯海塔尔,舰长
25,13624279,蛮牛方进,舰长
26,9555628,池上凭阑,舰长
27,2686444,zhlovenaiye,舰长
28,5338051,朝倉康心QB,舰长
29,28107253,冰蓝幽瀑,舰长
30,4222273,糖不甜了o,舰长
31,677968,祈福丶,舰长
32,1355340,七夜喵,舰长
33,273875635,arslan1984,舰长
34,10005741,钻石胸针,舰长
35,2295825,505错误,舰长
36,1527604,米糖豆包,舰长
37,356414,幻梦落尘,舰长
38,3242457,猫耳小月子,提督
39,119908,萌希家的小等等,舰长
40,48984839,長門我真的好喜欢你啊,舰长
41,287129877,_OUC_,舰长
42,260437110,李惟天,舰长
43,294667,小狼仔06,舰长
44,925980,LightNight,舰长
45,77222956,云若飞,舰长
46,1276048985,好调瑞崽,舰长
47,10479856,ELshade,舰长
48,21139453,蓝思喻,舰长
49,8106540,AKA鸭鸭梨,舰长
50,773898,叁千夜雨不见君,舰长
51,350877060,这是谁家的六氯环己烷,舰长
52,809050,Zumma.C,舰长
53,11107450,我爱苹果皮,舰长
54,34032055,转来转去转不出去,舰长
55,126835567,苏景寒QAQ,舰长
56,38648230,烟雨锦绣梦,舰长
57,604337808,锉刀必秒七海,舰长
58,2238244,成飞大爱秋山澪,舰长
59,2491930,aarkegz,舰长
60,822888,TommyLZR,舰长
61,1386318,紫色の心,舰长
62,2309276,市原飒,舰长
63,509467186,DR-闻树,舰长
64,13130453,xXx没头脑和不高兴,舰长
65,397781410,ysjsyysjsy,舰长
66,11123212,韶尘杳晚暮_,舰长
67,24349506,雪域悠然,舰长
68,576873824,Mr策策策策,舰长
69,2125062,寂灭天华,舰长
