rank,uid,username,type
1,11107450,我爱苹果皮,舰长
2,3242457,猫耳小月子,舰长
3,217589,天鳳院瑤光,舰长
4,3237744,剧毒术士卡布达,舰长
5,4212765,小也QwQ,舰长
6,6792898,沉迷乙游的YosuGa,舰长
7,294667,小狼仔06,舰长
8,24136234,yuk133,舰长
9,284054,傲娇藤林杏,舰长
10,11797,NOVE,舰长
11,333757885,蒲苇韧如絲,舰长
12,24349506,雪域悠然,舰长
13,1467186,゙圣人惠美如画,舰长
14,139451,如儿两个字太短,舰长
15,581984,jiu红_佐仓财团,舰长
16,126835567,苏景寒QAQ,舰长
17,356414,幻梦落尘,舰长
18,81007713,美杜莎的凝神,舰长
19,34032055,转来转去转不出去,舰长
20,518287,琰月,舰长
21,207079,猫控才是王道,舰长
22,150476,你玩FF14像cxk,舰长
23,86795,ダーナ,舰长
24,11270874,絔小妖丶,舰长
25,21443071,半车回忆,舰长
26,1527604,米糖豆包,舰长
27,13624279,蛮牛方进,舰长
28,759055,佐仓沙耶加减乘除,舰长
29,1355340,七夜喵,舰长
30,2491930,aarkegz,舰长
31,39351242,一只被喂狗粮的喵,舰长
32,2494590,Inuuykihci,舰长
33,4350825,Sss丶333,舰长
34,289499569,24Bridge,舰长
35,2295825,505错误,舰长
36,35148518,加尔斯海塔尔,舰长
37,4080622,珈蓝璎珞,舰长
38,399938125,蓝铃儿Official,舰长
39,5338051,QB的幸运四饼,舰长
40,119908,吃不饱的等等,舰长
41,16822948,猫耳晃晃Nya,舰长
42,6097060,平沢家の呆唯,舰长
43,77222956,云若飞,舰长
44,4156362,小心心才不傲娇,舰长
45,17490423,我只是来看看不说话,舰长
46,133890,disname,舰长
47,407707,小沁不爱啃茄子,舰长
48,2986944,Ace长安,舰长
49,9923459,梦丶蝶,舰长
50,809050,Zumma.C,舰长
51,874491,故事城,舰长
52,3861924,ghj123h,舰长
53,397781410,欧鳇上仙,舰长
54,346352217,左车亭,舰长
55,85685453,浅薄丶安凉,舰长
56,51792751,彼忍,舰长
57,1263988646,微雨几时甜,舰长
58,3690987299801910,冬去春来海棠花开,舰长
59,358916082,然-7,舰长
60,138533676,九琉才是正统,舰长
61,22944254,路西Official,舰长
62,11923138,噫大师,舰长
63,4900986,斋云府,舰长
64,9216292,蓝色奶龙_,舰长
65,25060765,宇厸静,舰长
66,38157832,MatsumiKuro,舰长
67,19862075,Sylvanasssssss,舰长
68,284379,柯妮克莉斯汀森,舰长
69,14039282,永歌森林的猫,舰长
70,85447643,SkyRainWind,舰长
71,19873830,真的是包子啊,舰长
72,25169960,今晚做什么梦cc,舰长
73,107941904,mitatuo,舰长
74,30810343,Camelot-,舰长
75,136650312,喵饭饭饭,舰长
76,5821521,遛叁贰肆个硬币,舰长
77,2809540,在日本的馬鹿者,舰长
78,39364174,可乐真的黑,舰长
79,341491484,夜梦音凛,舰长
