rank,uid,username,type
1,2380700,Hurburt,舰长
2,6255252,pomelo_wine,舰长
3,21443071,半车回忆,舰长
4,35357644,凛音梦夜,舰长
5,4156362,小心心才不傲娇,舰长
6,3861924,ghj123h,舰长
7,1846594,dovechoco,舰长
8,10687622,打铁阿里纱,舰长
9,670459,yiyunhuan,舰长
10,89427543,Beat0n,舰长
11,150476,你玩FF14像cxk,舰长
12,1551497,囗六六囗,舰长
13,2413965,USA226,舰长
14,19038963,千里花咲,舰长
15,51792751,扶摇上青天丶,舰长
16,455753800,中野三玖单推人,舰长
17,122449,七夜寒音,舰长
18,299000,枫枫雪,舰长
19,289499569,24Bridge,舰长
20,384246380,周之谦ovo,舰长
21,359354934,想当蓝毛毛的天降,舰长
22,327220159,Qi学日麻,舰长
23,759055,佐仓沙耶加减乘除,舰长
24,302878,迫近的天际线,舰长
25,35148518,加尔斯海塔尔,舰长
26,13624279,蛮牛方进,舰长
27,9555628,池上凭阑,舰长
28,2686444,zhlovenaiye,舰长
29,5338051,朝倉康心QB,舰长
30,28107253,冰蓝幽瀑,舰长
31,4222273,糖不甜了o,舰长
32,677968,祈福丶,舰长
33,1355340,七夜喵,舰长
34,273875635,arslan1984,舰长
35,10005741,钻石胸针,舰长
36,2295825,505错误,舰长
37,1527604,米糖豆包,舰长
38,356414,幻梦落尘,舰长
39,3242457,猫耳小月子,提督
40,119908,萌希家的小等等,舰长
41,48984839,長門我真的好喜欢你啊,舰长
