rank,uid,username,type
1,3242457,猫耳小月子,提督
2,333757885,蒲苇韧如絲,提督
3,925980,LightNight,舰长
4,4212765,小也QwQ,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,3237744,剧毒术士卡布达,舰长
7,24136234,yuk133,舰长
8,11107450,我爱苹果皮,舰长
9,122449,七夜寒音,舰长
10,1467186,圣人惠美如画-,舰长
11,6865499,酪蛋糕,舰长
12,284054,傲娇藤林杏,舰长
13,581984,jiu红_佐仓财团,舰长
14,11797,NOVE,舰长
15,294667,小狼仔06,舰长
16,2686444,zhlovenaiye,舰长
17,518287,琰月,舰长
18,150476,你玩FF14像cxk,舰长
19,356414,幻梦落尘,舰长
20,44570644,夜雨feifei,舰长
21,30885903,鸽翼-,舰长
22,86795,ダーナ,舰长
23,153596,传说中的老山猫,舰长
24,81007713,美杜莎毛呆多用装甲板,舰长
25,1527604,米糖豆包,舰长
26,677968,祈福丶,舰长
27,2494590,山不就我192,舰长
28,1355340,七夜喵,舰长
29,126835567,苏景寒QAQ,舰长
30,96354,重巡洋舰羽黑,舰长
31,13624279,蛮牛方进,舰长
32,10354186,空白de顔色,舰长
33,32285055,谁家小猫咪这么可爱啊,舰长
34,11270874,絔小妖丶,舰长
35,4350825,Sss丶333,舰长
36,1551497,囗六六囗,舰长
37,19982416,丿八云紫丶,舰长
38,21443071,半车回忆,舰长
39,207079,猫控才是王道,舰长
40,2295825,505错误,舰长
41,139451,如儿两个字太短,舰长
42,13130453,xXx没头脑和不高兴,舰长
43,2491930,aarkegz,舰长
44,759055,佐仓沙耶上下左右,舰长
45,4080622,珈蓝璎珞,舰长
46,34032055,转来转去转不出去,舰长
47,2909345,化雨成枫,舰长
48,35148518,加尔斯海塔尔,舰长
49,5338051,朝倉康心QB,舰长
50,9555628,池上凭阑,舰长
51,119908,萌希家的小等等,舰长
52,399938125,蓝铃儿Official,舰长
53,94526445,胡萝北素w,舰长
54,39351242,一只被喂狗粮的喵,舰长
55,2387733,萧暁風,舰长
56,1802569,SirenumScopuli,舰长
57,670459,yiyunhuan,舰长
58,1697848019,赤五教教主亮亮,舰长
59,390676180,九条狸猫,舰长
60,848258,菠萝灌汤包,舰长
61,35357644,凛音梦夜,舰长
62,2238244,成飞大爱秋山澪,舰长
63,51792751,彼忍,舰长
64,359354934,知恩唱歌哄我睡觉,舰长
65,797296,不会卖萌の钱伯,舰长
66,2413965,Yukin0Shizuku,舰长
67,576590,fuluo,舰长
68,4156362,小心心才不傲娇,舰长
69,5800806,bpkbumblebee,舰长
70,6097060,平沢家の呆唯,舰长
71,11123212,韶尘杳晚暮_,舰长
72,8106540,AKA鸭鸭梨,舰长
73,23665774,悠米爱吃巧克力,舰长
74,2986944,Ace长安,舰长
75,392997,FFindblue,舰长
76,273875635,arslan1984,舰长
77,282770222,zh4ever,舰长
78,9923459,梦丶蝶,舰长
79,327220159,Qi学日麻,舰长
80,10903128,风车骑士兀,舰长
81,112700900,子车沉琚,舰长
82,3731858,如烟如雨丶,舰长
83,1368139,巴巴爸爸,舰长
84,21626362,千年·小妖,舰长
85,48984839,長門我真的好喜欢你啊,舰长
86,11923138,噫大师,舰长
87,17490423,我只是来看看不说话,舰长
88,133890,disname,舰长
89,397781410,ysjsyysjsy,舰长
90,11444975,西莉卡のShirika,舰长
91,1286485,漠涟漪,舰长
