rank,uid,username,type
1,289499569,24Bridge,提督
2,3242457,猫耳小月子,舰长
3,925980,LightNight,舰长
4,11107450,我爱苹果皮,舰长
5,4212765,小也QwQ,舰长
6,6792898,沉迷乙游的YosuGa,舰长
7,3237744,剧毒术士卡布达,舰长
8,24136234,yuk133,舰长
9,122449,七夜寒音,舰长
10,1467186,゙圣人惠美如画,舰长
11,284054,傲娇藤林杏,舰长
12,11797,NOVE,舰长
13,581984,jiu红_佐仓财团,舰长
14,6865499,酪蛋糕,舰长
15,294667,小狼仔06,舰长
16,2686444,zhlovenaiye,舰长
17,518287,琰月,舰长
18,150476,你玩FF14像cxk,舰长
19,356414,幻梦落尘,舰长
20,126835567,苏景寒QAQ,舰长
21,86795,ダーナ,舰长
22,333757885,蒲苇韧如絲,舰长
23,81007713,美杜莎毛呆多用装甲板,舰长
24,24349506,雪域悠然,舰长
25,1527604,米糖豆包,舰长
26,677968,祈福丶,舰长
27,1355340,七夜喵,舰长
28,2494590,山不就我192,舰长
29,13624279,蛮牛方进,舰长
30,96354,重巡洋舰羽黑,舰长
31,11270874,絔小妖丶,舰长
32,207079,猫控才是王道,舰长
33,4350825,Sss丶333,舰长
34,1551497,囗六六囗,舰长
35,21443071,半车回忆,舰长
36,32285055,谁家小猫咪这么可爱啊,舰长
37,139451,如儿两个字太短,舰长
38,2295825,505错误,舰长
39,2491930,aarkegz,舰长
40,34032055,转来转去转不出去,舰长
41,13130453,xXx没头脑和不高兴,舰长
42,4080622,珈蓝璎珞,舰长
43,759055,佐仓沙耶加减乘除,舰长
44,35148518,加尔斯海塔尔,舰长
45,5338051,朝倉康心QB,舰长
46,119908,萌希家的小等等,舰长
47,399938125,蓝铃儿Official,舰长
48,39351242,一只被喂狗粮的喵,舰长
49,670459,yiyunhuan,舰长
50,1802569,SirenumScopuli,舰长
51,390676180,九条狸猫,舰长
52,848258,菠萝灌汤包,舰长
53,35357644,凛音梦夜,舰长
54,2238244,成飞大爱秋山澪,舰长
55,1386318,紫色の心,舰长
56,576590,fuluo,舰长
57,4156362,小心心才不傲娇,舰长
58,5800806,bpkbumblebee,舰长
59,2387733,萧暁風,舰长
60,6097060,平沢家の呆唯,舰长
61,2986944,Ace长安,舰长
62,1468866,风文,舰长
63,282770222,zh4ever,舰长
64,9923459,梦丶蝶,舰长
65,174019769,爱打麻将的奥斯卡,舰长
66,3731858,如烟如雨丶,舰长
67,346352217,左车亭,舰长
68,133890,disname,舰长
69,17490423,我只是来看看不说话,舰长
70,11444975,西莉卡のShirika,舰长
71,397781410,ysjsyysjsy,舰长
72,77222956,云若飞,舰长
73,809050,Zumma.C,舰长
74,260437110,李惟天,舰长
75,364421466,胡乱思维的猫,舰长
76,874491,故事城,舰长
77,12958381,qing鲤,舰长
78,299597062,GodSky-,舰长
79,6504651,Name1ess_O,舰长
80,44100459,芙蓉打dota,舰长
81,2539001,法伊君,舰长
82,3861924,ghj123h,舰长
83,2309276,市原飒,舰长
84,19038963,千里花咲,舰长
85,1572509,炎魔之王娜贝纳尔伽玛,舰长
86,87688430,岚鸽鸽丶,舰长
87,358916082,然-7,舰长
88,5494229,JSON茶杯菌,舰长
89,85685453,浅薄丶安凉,舰长
90,1716204,流浪的自由,舰长
91,289583204,ートトー,舰长
92,193050759,萌萌哒-曹萌,舰长
93,80835075,死人枫,舰长
94,29532936,是小莁鴨吶,舰长
95,527619018,天狼forever,舰长
96,22944254,路西Official,舰长
97,109320712,大笨木瓜,舰长
98,383152159,铜铝得金,舰长
99,16822948,猫耳晃晃Nya,舰长
100,3287844,粟米米米米米米米米丶,舰长
101,22069699,易拾尔,舰长
102,57123130,Zero_31551,舰长
103,16051677,撕垃潜力亚,舰长
104,18103764,异界守护,舰长
105,2159677,小神兽老师,舰长
106,3057080,神崎海星,舰长
107,390653681,cmerxbd,舰长
108,94667666,drovain,舰长
109,1263988646,三分微甜_,舰长
110,35236326,Liuskey,舰长
111,205097848,naoya_official,舰长
112,353822667,重生之我是急急国王,舰长
113,470796494,努力变强的小y,舰长
114,9505265,落寞残阳,舰长
115,627392553,滑稽是内鬼,舰长
116,75387187,石川洛,舰长
117,27936597,Ty1uu,舰长
118,25365928,亮亮的老公,舰长
119,285632907,big若奇,舰长
120,390332051,王水好喝捏,舰长
121,75081041,阿啵次der,舰长
122,128792,莱瓦汀_Official,舰长
123,8088927,四野宫謠,舰长
