rank,uid,username,type
1,670459,yiyunhuan,舰长
2,1551497,囗六六囗,舰长
3,2413965,USA226,舰长
4,122449,七夜寒音,舰长
5,289499569,24Bridge,舰长
6,384246380,周之谦ovo,舰长
7,359354934,想当蓝毛毛的天降,舰长
8,327220159,Qi学日麻,舰长
9,302878,迫近的天际线,舰长
10,35148518,加尔斯海塔尔,舰长
11,13624279,蛮牛方进,舰长
12,9555628,池上凭阑,舰长
13,2686444,zhlovenaiye,舰长
14,5338051,朝倉康心QB,舰长
15,1355340,七夜喵,舰长
16,273875635,arslan1984,舰长
17,10005741,钻石胸针,舰长
18,3242457,猫耳小月子,提督
19,294667,小狼仔06,舰长
20,925980,LightNight,舰长
21,77222956,云若飞,舰长
22,21139453,蓝思喻,舰长
23,38648230,烟雨锦绣梦,舰长
24,2491930,aarkegz,舰长
25,13130453,xXx没头脑和不高兴,舰长
26,397781410,ysjsyysjsy,舰长
27,11123212,韶尘杳晚暮_,舰长
28,24349506,雪域悠然,舰长
29,2125062,寂灭天华,舰长
30,6792898,沉迷乙游的YosuGa,舰长
31,3731858,如烟如雨丶,舰长
32,218970376,嘉兴路海德格爾,舰长
33,21626362,千年·小妖,舰长
34,17490423,我只是来看看不说话,舰长
35,581984,jiu红_佐仓财团,舰长
36,333757885,蒲苇韧如絲,舰长
37,11444975,西莉卡のShirika,舰长
38,139451,如儿两个字太短,舰长
39,1438008,天津風醬,舰长
40,299597062,GodSky-,舰长
41,23665774,悠米爱吃巧克力,舰长
42,1286485,吸猫薄荷的漠涟漪,舰长
43,482738,暁の水平線に,舰长
44,416833614,请叫我天地胡,舰长
45,44100459,芙蓉打dota,舰长
46,44100459,芙蓉打dota,舰长
47,85304044,叫什么才能过,舰长
48,610492,博格达山,舰长
49,29381013,月影残剑,舰长
50,1507182989,碳酸树袋熊,舰长
51,39351242,一只被喂狗粮的喵,舰长
52,1368139,巴巴爸爸,舰长
53,1802569,SirenumScopuli,舰长
54,282770222,zh4ever,舰长
55,358916082,然-7,舰长
56,284054,傲娇藤林杏,舰长
57,3237744,剧毒术士卡布达,舰长
58,24136234,yuk133,舰长
59,518287,琰月,舰长
60,94526445,胡萝北素w,舰长
61,6340376,尛滺,舰长
62,96354,重巡洋舰羽黑,舰长
63,10354186,空白de顔色,舰长
64,5800806,bpkbumblebee,舰长
65,2986944,Ace长安,舰长
66,848258,菠萝灌汤包,舰长
67,390676180,九条狸猫,舰长
68,11270874,絔小妖丶,舰长
69,133890,disname,舰长
70,4212765,小也QwQ,舰长
71,153596,传说中的老山猫,舰长
72,124353728,莱昂凯知耻而人品好,舰长
73,80835075,死人枫,舰长
74,13636187,李小花丶,舰长
75,37937594,アンパンです,舰长
76,401465319,隐薛,舰长
77,7080134,暮雨风傲,舰长
78,386362614,栀落雪融,舰长
79,41106921,Tsuki丶suki丶,舰长
80,262536544,风花雪月隐,舰长
81,9217887,枫糖QAQ,舰长
82,12504588,喝茶的真寻,舰长
83,1164378487,bili_17895475089,舰长
84,25060765,宇厸静,舰长
85,4127725,巨型大李子,舰长
86,69447971,楚千秋CQQ,舰长
87,247208,历经天光,舰长
