rank,uid,username,type
1,3242457,猫耳小月子,提督
2,925980,LightNight,舰长
3,4212765,小也QwQ,舰长
4,3237744,剧毒术士卡布达,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,24136234,yuk133,舰长
7,122449,七夜寒音,舰长
8,1467186,圣人惠美如画-,舰长
9,6865499,酪蛋糕,舰长
10,284054,傲娇藤林杏,舰长
11,581984,jiu红_佐仓财团,舰长
12,11797,NOVE,舰长
13,294667,小狼仔06,舰长
14,2686444,zhlovenaiye,舰长
15,11107450,我爱苹果皮,舰长
16,518287,琰月,舰长
17,150476,你玩FF14像cxk,舰长
18,356414,幻梦落尘,舰长
19,30885903,鸽翼-,舰长
20,86795,ダーナ,舰长
21,153596,传说中的老山猫,舰长
22,81007713,美杜莎毛呆多用装甲板,舰长
23,44570644,夜雨feifei,舰长
24,1527604,米糖豆包,舰长
25,677968,祈福丶,舰长
26,1355340,七夜喵,舰长
27,96354,重巡洋舰羽黑,舰长
28,13624279,蛮牛方进,舰长
29,10354186,空白de顔色,舰长
30,11270874,絔小妖丶,舰长
31,4350825,Sss丶333,舰长
32,1551497,囗六六囗,舰长
33,21443071,半车回忆,舰长
34,32285055,谁家小猫咪这么可爱啊,舰长
35,207079,猫控才是王道,舰长
36,2494590,山不就我192,舰长
37,2295825,505错误,舰长
38,139451,如儿两个字太短,舰长
39,13130453,xXx没头脑和不高兴,舰长
40,2491930,aarkegz,舰长
41,4080622,珈蓝璎珞,舰长
42,34032055,转来转去转不出去,舰长
43,126835567,苏景寒QAQ,舰长
44,759055,佐仓沙耶加减乘除,舰长
45,2909345,化雨成枫,舰长
46,35148518,加尔斯海塔尔,舰长
47,5338051,朝倉康心QB,舰长
48,9555628,池上凭阑,舰长
49,333757885,蒲苇韧如絲,舰长
50,119908,萌希家的小等等,舰长
51,399938125,蓝铃儿Official,舰长
52,94526445,胡萝北素w,舰长
53,39351242,一只被喂狗粮的喵,舰长
54,2387733,萧暁風,舰长
55,31339413,MyPleasurezzz,舰长
56,1802569,SirenumScopuli,舰长
57,670459,yiyunhuan,舰长
58,1697848019,赤五教教主亮亮,舰长
59,390676180,九条狸猫,舰长
60,848258,菠萝灌汤包,舰长
61,35357644,凛音梦夜,舰长
62,2238244,成飞大爱秋山澪,舰长
63,51792751,彼忍,舰长
64,359354934,知恩唱歌哄我睡觉,舰长
65,797296,不会卖萌の钱伯,舰长
66,2413965,USA226,舰长
67,576590,fuluo,舰长
68,4156362,小心心才不傲娇,舰长
69,5800806,bpkbumblebee,舰长
70,6097060,平沢家の呆唯,舰长
71,8106540,AKA鸭鸭梨,舰长
72,23665774,悠米爱吃巧克力,舰长
73,2986944,Ace长安,舰长
74,392997,FFindblue,舰长
75,273875635,arslan1984,舰长
76,282770222,zh4ever,舰长
77,9923459,梦丶蝶,舰长
78,327220159,Qi学日麻,舰长
79,11123212,韶尘杳晚暮_,舰长
80,112700900,子车沉琚,舰长
81,3731858,如烟如雨丶,舰长
82,178666266,丶小豪-,舰长
83,2700878,爱丝艾芙,舰长
84,1368139,巴巴爸爸,舰长
85,11923138,噫大师,舰长
86,48984839,長門我真的好喜欢你啊,舰长
87,133890,disname,舰长
88,397781410,ysjsyysjsy,舰长
89,11444975,西莉卡のShirika,舰长
90,1286485,漠涟漪,舰长
91,17490423,我只是来看看不说话,舰长
92,77222956,云若飞,舰长
93,289499569,24Bridge,舰长
94,809050,Zumma.C,舰长
95,874491,故事城,舰长
96,364421466,胡乱思维的猫,舰长
97,12958381,qing鲤,舰长
98,6504651,Real_小白,舰长
99,49362003,绿色红宝石,舰长
100,3861924,ghj123h,舰长
101,299597062,GodSky-,舰长
102,19038963,千里花咲,舰长
103,89427543,Beat0n,舰长
104,44100459,芙蓉打dota,舰长
105,10005741,钻石胸针,舰长
106,59392743,甜甜的玖柒,舰长
107,8801354,Mono_莫诺,舰长
108,38648230,烟雨锦绣梦,舰长
109,358916082,然-7,舰长
110,87688430,是岚鸽鸽啊,舰长
111,305438134,Lance1ort,舰长
112,2112989343,星辰福海喵,舰长
113,80835075,死人枫,舰长
114,57123130,Zero_31551,舰长
115,883206,番茄汁拌鸡肉,舰长
116,12504588,喝茶的真寻,舰长
117,11761096,疏织瘦影,舰长
118,85685453,浅薄丶安凉,舰长
119,6082400,良记肠粉,舰长
120,69447971,楚千秋CQQ,舰长
121,68034808,x光羽x,舰长
122,60784496,夕下的余温,舰长
123,780414,无节操的石头,舰长
124,298672073,劍舞红颜笑丿,舰长
125,12805992,LMSSB,舰长
126,2298370,利特-利亚斯,舰长
127,10931744,君莫思归z,舰长
128,225580285,小松子皮皮,舰长
129,7410837,长歌终离-Syouri,舰长
