rank,uid,username,type
1,11107450,我爱苹果皮,舰长
2,3242457,猫耳小月子,舰长
3,217589,天鳳院瑤光,舰长
4,3237744,剧毒术士卡布达,舰长
5,4212765,小也QwQ,舰长
6,6792898,沉迷乙游的YosuGa,舰长
7,24136234,yuk133,舰长
8,284054,傲娇藤林杏,舰长
9,294667,小狼仔06,舰长
10,11797,NOVE,舰长
11,333757885,蒲苇韧如絲,舰长
12,24349506,雪域悠然,舰长
13,1467186,゙圣人惠美如画,舰长
14,581984,jiu红_佐仓财团,舰长
15,139451,如儿两个字太短,舰长
16,126835567,苏景寒QAQ,舰长
17,356414,幻梦落尘,舰长
18,81007713,美杜莎的凝神,舰长
19,34032055,转来转去转不出去,舰长
20,518287,琰月,舰长
21,207079,猫控才是王道,舰长
22,150476,你玩FF14像cxk,舰长
23,11270874,絔小妖丶,舰长
24,86795,ダーナ,舰长
25,21443071,半车回忆,舰长
26,2491930,aarkegz,舰长
27,1527604,米糖豆包,舰长
28,39351242,一只被喂狗粮的喵,舰长
29,2494590,Inuuykihci,舰长
30,13624279,蛮牛方进,舰长
31,759055,佐仓沙耶加减乘除,舰长
32,4350825,Sss丶333,舰长
33,1355340,七夜喵,舰长
34,30885903,鸽翼-,舰长
35,289499569,24Bridge,舰长
36,2295825,505错误,舰长
37,35148518,加尔斯海塔尔,舰长
38,4080622,珈蓝璎珞,舰长
39,399938125,蓝铃儿Official,舰长
40,5338051,QB的幸运四饼,舰长
41,16822948,猫耳晃晃Nya,舰长
42,119908,吃不饱的等等,舰长
43,77222956,云若飞,舰长
44,6097060,平沢家の呆唯,舰长
45,17490423,我只是来看看不说话,舰长
46,4156362,小心心才不傲娇,舰长
47,133890,disname,舰长
48,407707,小沁不爱啃茄子,舰长
49,2986944,Ace长安,舰长
50,9923459,梦丶蝶,舰长
51,809050,Zumma.C,舰长
52,874491,故事城,舰长
53,397781410,欧鳇上仙,舰长
54,3861924,ghj123h,舰长
55,346352217,左车亭,舰长
56,85685453,浅薄丶安凉,舰长
57,51792751,彼忍,舰长
58,1263988646,三分微甜awa,舰长
59,2943679,梭哈毛毛10t公粮,舰长
60,3690987299801910,莞莞類喵的替身海棠花,舰长
61,358916082,然-7,舰长
62,138533676,九琉才是正统,舰长
63,22944254,路西Official,舰长
64,11923138,噫大师,舰长
65,9216292,蓝色奶龙_,舰长
66,4900986,斋云府,舰长
67,38157832,MatsumiKuro,舰长
68,15510470,丶X方丶,舰长
69,19862075,Sylvanasssssss,舰长
70,284379,柯妮克莉斯汀森,舰长
71,21928637,h的什么最好了,舰长
72,85447643,SkyRainWind,舰长
73,25169960,今晚做什么梦cc,舰长
74,19873830,真的是包子啊,舰长
75,822888,真姬喜欢热可可,舰长
76,107941904,mitatuo,舰长
77,30810343,Camelot-,舰长
78,5821521,遛叁贰肆个硬币,舰长
79,3546644373048236,Meng142857,舰长
80,1101924581,徐杨思齐,舰长
81,2809540,在日本的馬鹿者,舰长
82,545380,Shane_init,舰长
83,39364174,可乐真的黑,舰长
84,341491484,傲慢收割,舰长
