rank,uid,username,type
1,150476,你玩FF14像cxk,舰长
2,1551497,囗六六囗,舰长
3,2413965,USA226,舰长
4,19038963,千里花咲,舰长
5,51792751,扶摇上青天丶,舰长
6,122449,七夜寒音,舰长
7,299000,枫枫雪,舰长
8,289499569,24Bridge,舰长
9,384246380,周之谦ovo,舰长
10,327220159,Qi学日麻,舰长
11,759055,佐仓沙耶加减乘除,舰长
12,35148518,加尔斯海塔尔,舰长
13,13624279,蛮牛方进,舰长
14,9555628,池上凭阑,舰长
15,5338051,朝倉康心QB,舰长
16,677968,祈福丶,舰长
17,1355340,七夜喵,舰长
18,2295825,505错误,舰长
19,1527604,米糖豆包,舰长
20,356414,幻梦落尘,舰长
21,3242457,猫耳小月子,提督
22,294667,小狼仔06,舰长
23,925980,LightNight,舰长
24,10479856,ELshade,舰长
25,21139453,蓝思喻,舰长
26,8106540,AKA鸭鸭梨,舰长
27,773898,叁千夜雨不见君,舰长
28,350877060,这是谁家的六氯环己烷,舰长
29,809050,Zumma.C,舰长
30,11107450,我爱苹果皮,舰长
31,34032055,转来转去转不出去,舰长
32,126835567,苏景寒QAQ,舰长
33,38648230,烟雨锦绣梦,舰长
34,604337808,锉刀必秒七海,舰长
35,2238244,成飞大爱秋山澪,舰长
36,2491930,aarkegz,舰长
37,822888,TommyLZR,舰长
38,1386318,紫色の心,舰长
39,2309276,市原飒,舰长
40,509467186,DR-闻树,舰长
41,13130453,xXx没头脑和不高兴,舰长
42,397781410,ysjsyysjsy,舰长
43,11123212,韶尘杳晚暮_,舰长
44,24349506,雪域悠然,舰长
45,576873824,Mr策策策策,舰长
46,2125062,寂灭天华,舰长
47,72412876,苦艾酒CcC,舰长
48,2494590,山不就我192,舰长
49,11923138,噫大师,舰长
50,4350825,Sss丶333,舰长
51,6792898,沉迷乙游的YosuGa,舰长
52,3731858,如烟如雨丶,舰长
53,218970376,嘉兴路海德格爾,舰长
54,21626362,千年·小妖,舰长
55,17490423,我只是来看看不说话,舰长
56,581984,jiu红_佐仓财团,舰长
57,333757885,蒲苇韧如絲,舰长
58,81007713,美杜莎毛呆多用装甲板,舰长
59,11444975,西莉卡のShirika,舰长
60,106676490,恋星sayaka,舰长
61,9923459,梦丶蝶,舰长
62,3518530,小傻改2,舰长
63,12781123,Eastriv,舰长
64,152106034,四月墨封,舰长
65,103927621,上头呆l,舰长
66,374003,风吹猫仔凉,舰长
67,37684532,chinesewe,舰长
68,124463,燕归归归归,舰长
69,139451,如儿两个字太短,舰长
70,900744,魔法少女青羽,舰长
71,5730800,201Ai,舰长
72,9519473,风_风_风_,舰长
73,1438008,天津風醬,舰长
74,346352217,左车亭,舰长
75,576590,fuluo,舰长
76,333445222,饭阿能的咸鱼0,舰长
77,299597062,GodSky-,舰长
78,207079,猫控才是王道,舰长
79,1697848019,赤五教教主亮亮,舰长
80,32285055,谁家小猫咪这么可爱啊,舰长
81,21286664,酱油不要油,舰长
82,2909345,化雨成枫,舰长
83,364421466,胡乱思维的猫,舰长
84,324452248,MMarlon,舰长
85,390653681,cmerxbd,舰长
86,23665774,悠米爱吃巧克力,舰长
87,1286485,吸猫薄荷的漠涟漪,舰长
